Timestamp,ID (optional - see instructions above),Ratings [American Factory],Ratings [Anne With an E],Ratings [Arcane],Ratings [Arrested Development],Ratings [Arrow],Ratings [ATLA],Ratings [Attack on Titan],Ratings [Atypical],Ratings [Avatar],Ratings [Avatar: The Last Airbender],Ratings [Baking Impossible],Ratings [Better Call Saul],Ratings [Big Mouth],Ratings [Big Time Rush],Ratings [Black Mirror],Ratings [Bojack Horsemen],Ratings [Breaking Bad],Ratings [Bridgerton],Ratings [Cats],Ratings [Chicago Fire],Ratings [Chuck],Ratings [Cobra Kai],Ratings [Criminal Minds],Ratings [Daredevil],Ratings [Derry Girls],Ratings [Despicable Me],Ratings [F is for Family],Ratings [Forged in Fire],Ratings [Formula 1: Drive to Survive],Ratings [Frozen],Ratings [Gilmore Girls],Ratings [Grace & Frankie],Ratings [Great British Baking Show],Ratings [Grey's Anatomy],Ratings [Heartland],Ratings [Hunter x Hunter],Ratings [Hush],Ratings [I Think You Should Leave],Ratings [James Acaster Repertoire],Ratings [Jimmy Savile: A British Horror Story],Ratings [Just Go With It],Ratings [Klaus],Ratings [Lady Bird],Ratings [Law and Order: SVU],Ratings [Loki],Ratings [Love is Blind],Ratings [Lucifer],Ratings [Nailed It],Ratings [Napoleon Dynamite],Ratings [New Girl],Ratings [Northern Rescue],Ratings [Once Upon a Time],Ratings [One Piece],Ratings [Orange is the New Black],Ratings [Ouran High School Host Club],Ratings [Outer Banks],Ratings [Parks and Rec],Ratings [Paul Blart: Mall Cop],Ratings [Peaky Blinders],Ratings [Psych],Ratings [Quantico],Ratings [Riverdale],Ratings [Schitt's Creek],Ratings [Shadow and Bone],Ratings [Shameless],Ratings [Shawshank Redemption],Ratings [Shrek],Ratings [Silver Linings Playbook],Ratings [Sonic],Ratings [Spongebob],Ratings [Squid Game],Ratings [Stranger Things],Ratings [SuperGirl],Ratings [Supernatural],Ratings [Sword Art Online],Ratings [The Blacklist],Ratings [The Blind Side],Ratings [The Chair],Ratings [The Darkest Hour],Ratings [The Flash],Ratings [The Giver],Ratings [The Good Place],Ratings [The Imitation Game],Ratings [The K2],Ratings [The Last Kingdom],Ratings [The Mentalist],Ratings [The Office],Ratings [The Queen's Gambit],Ratings [The Vampire Diaries],Ratings [The Walking Dead],Ratings [The Waterboy],Ratings [The Witcher],Ratings [Tick... Tick... Boom],Ratings [To Your Eternity],Ratings [Turning Red],Ratings [Victorious],Ratings [Vikings],Ratings [Virgin River],Ratings [Warrior]
4/15/2022 11:33:32,Billie Jean,N/A,5 stars,N/A,5 stars,4 stars,N/A,5 stars,N/A,N/A,N/A,5 stars,N/A,4 stars,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,5 stars,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 star,N/A,4 stars,N/A,1 star,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,5 stars,N/A,2 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,4 stars,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,5 stars,5 stars,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/15/2022 11:35:09,,N/A,5 stars,N/A,3 stars,3 stars,5 stars,5 stars,3 stars,5 stars,5 stars,N/A,N/A,3 stars,5 stars,5 stars,5 stars,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,"N/A, 3 stars",N/A,2 stars,N/A,N/A,N/A,2 stars,N/A,N/A,"N/A, 4 stars",1 star,N/A,3 stars,N/A,N/A,N/A,N/A,3 stars,N/A,3 stars,N/A,2 stars,3 stars,N/A,N/A,3 stars,5 stars,N/A,N/A,N/A,N/A,5 stars,2 stars,5 stars,4 stars,N/A,N/A,N/A,1 star,3 stars,5 stars,N/A,N/A,5 stars,N/A,N/A,3 stars,3 stars,3 stars,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,1 star,5 stars,N/A,N/A,N/A,N/A,3 stars,N/A,4 stars,3 stars,N/A,N/A,N/A
4/15/2022 11:46:53,Doodle,,3 stars,,,,,,5 stars,,,,,,,5 stars,,,4 stars,,,,,5 stars,,,,,,,,,,,,,,4 stars,,,,,,5 stars,5 stars,,,,,,5 stars,,,,5 stars,,,,,,,,,5 stars,,,,,,,,,4 stars,,,,,,,,,,,,,,,,,,4 stars,,,,,,,,,
4/15/2022 12:01:55,,,,4 stars,N/A,N/A,2 stars,1 star,3 stars,N/A,N/A,,,1 star,1 star,2 stars,4 stars,N/A,N/A,,,,,2 stars,N/A,,1 star,N/A,5 stars,N/A,2 stars,,,N/A,N/A,,4 stars,N/A,N/A,5 stars,3 stars,N/A,,4 stars,,,,,,1 star,,,,1 star,,,,3 stars,,,,,,,,,5 stars,,,,,,,,,1 star,,3 stars,,,2 stars,1 star,N/A,5 stars,,,,2 stars,,,,,,,,,,,,
4/15/2022 12:22:33,187801,N/A,N/A,5 stars,N/A,4 stars,N/A,N/A,N/A,4 stars,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,2 stars,N/A,N/A,N/A,N/A,5 stars,4 stars,N/A,N/A,4 stars,N/A,4 stars,5 stars,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,1 star,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,3 stars,5 stars,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,4 stars,5 stars,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,5 stars,N/A,N/A,"4 stars, 5 stars",N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/15/2022 12:31:25,,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,5 stars,N/A,N/A,5 stars,N/A,5 stars,N/A,N/A,4 stars,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,3 stars,5 stars,N/A,N/A,N/A,N/A,N/A,3 stars,3 stars,3 stars,N/A,5 stars,N/A,4 stars,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,N/A
4/15/2022 12:54:17,,N/A,N/A,N/A,4 stars,N/A,5 stars,4 stars,N/A,N/A,5 stars,N/A,N/A,2 stars,3 stars,N/A,4 stars,N/A,4 stars,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,4 stars,N/A,N/A,N/A,3 stars,N/A,N/A,4 stars,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,3 stars,5 stars,N/A,N/A,N/A,N/A,3 stars,N/A,4 stars,N/A,N/A,N/A,N/A,1 star,N/A,N/A,4 stars,N/A,5 stars,3 stars,N/A,N/A,N/A,4 stars,N/A,3 stars,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,4 stars,4 stars,4 stars,5 stars,N/A,N/A,3 stars,N/A,N/A,3 stars,N/A,N/A,N/A
4/15/2022 13:21:32,Lauryn,,,,,,,,3 stars,,4 stars,,,,1 star,1 star,,,,,,,,,,,,,,,,,,,3 stars,,,,,,,5 stars,,,,,1 star,,,,1 star,,1 star,,4 stars,,,,,,,,,,,,,4 stars,,,4 stars,2 stars,,,,,,3 stars,,,,,,,,,,1 star,5 stars,4 stars,,,,,,,,,,
4/15/2022 13:25:50,,,3 stars,,5 stars,,,,3 stars,,,,,1 star,,,,,,,,,,,,5 stars,,,,5 stars,4 stars,3 stars,5 stars,5 stars,,,,,5 stars,,,,,4 stars,,,1 star,,1 star,,5 stars,,4 stars,,4 stars,,,4 stars,,,,,,5 stars,,,,,,,,,,,,,,,,,,,,,,,,5 stars,5 stars,,,,,,,,,,,
4/15/2022 13:26:52,GGGG,,,,,2 stars,5 stars,5 stars,,4 stars,5 stars,,,3 stars,,2 stars,,,,,,,,,,,4 stars,,,,3 stars,,,,,,5 stars,4 stars,,4 stars,,,4 stars,,,,,2 stars,,,4 stars,,,5 stars,,,,,,,,,2 stars,,,3 stars,5 stars,5 stars,,3 stars,4 stars,3 stars,,,,2 stars,,4 stars,,,2 stars,3 stars,4 stars,,,,,3 stars,2 stars,,,,,,,4 stars,3 stars,,,
4/15/2022 14:30:12,Harry Potter,,,,4 stars,4 stars,,,,,,,,,,,,,3 stars,,,5 stars,2 stars,,3 stars,,3 stars,,,,3 stars,2 stars,,,3 stars,,,,,,,,,,,4 stars,,5 stars,,,3 stars,,,,,,5 stars,2 stars,,,4 stars,4 stars,3 stars,3 stars,,3 stars,,,,,,5 stars,5 stars,3 stars,,,,4 stars,,,4 stars,,3 stars,,,,,4 stars,5 stars,,,,,,,,,,,
4/15/2022 16:05:56,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,1 star,3 stars,N/A,5 stars,3 stars,N/A,N/A,4 stars,N/A,N/A,N/A,4 stars,N/A,N/A,3 stars,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/15/2022 20:08:01,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,4 stars,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/16/2022 12:23:16,,N/A,N/A,4 stars,N/A,N/A,N/A,5 stars,N/A,5 stars,5 stars,N/A,4 stars,N/A,3 stars,4 stars,5 stars,5 stars,N/A,1 star,N/A,N/A,N/A,N/A,4 stars,N/A,3 stars,N/A,3 stars,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,5 stars,N/A,2 stars,N/A,N/A,2 stars,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,5 stars,5 stars,N/A,N/A,4 stars,3 stars,N/A,N/A,4 stars,1 star,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,4 stars,4 stars,N/A,N/A,5 stars,4 stars,2 stars,4 stars,N/A,N/A
4/16/2022 14:33:43,Hello:),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,3 stars,3 stars,N/A,N/A,"4 stars, 5 stars",N/A,N/A,N/A,5 stars,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,"3 stars, 4 stars",N/A,N/A,N/A,5 stars,5 stars,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,3 stars,N/A,"4 stars, 5 stars",N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,3 stars,5 stars,N/A,5 stars,N/A,5 stars,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,3 stars,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,N/A
4/16/2022 15:36:29,sploop,N/A,N/A,N/A,N/A,1 star,5 stars,N/A,N/A,"N/A, 5 stars",5 stars,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 stars,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,3 stars,2 stars,N/A,N/A,1 star,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/16/2022 19:04:42,Lenga,N/A,N/A,N/A,4 stars,N/A,5 stars,5 stars,N/A,4 stars,5 stars,N/A,5 stars,3 stars,3 stars,4 stars,5 stars,5 stars,N/A,N/A,N/A,4 stars,4 stars,3 stars,N/A,N/A,"2 stars, 3 stars",5 stars,3 stars,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,5 stars,2 stars,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,4 stars,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,4 stars,5 stars,N/A,N/A,3 stars,3 stars,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,2 stars,N/A,N/A,N/A
4/16/2022 19:15:13,Derek,N/A,N/A,N/A,N/A,4 stars,5 stars,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,3 stars,N/A,3 stars,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,4 stars,2 stars,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,2 stars,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,5 stars,4 stars,N/A,3 stars,N/A,N/A,3 stars,1 star,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,5 stars,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/17/2022 19:52:05,227,,,5 stars,,5 stars,,,,,,,,3 stars,2 stars,3 stars,,,,,,,,4 stars,,,,,,,,,,,,,,,,,,,,,3 stars,,,3 stars,,,,,,,,,,,,,,,,,,,4 stars,,,,,,,,,,,5 stars,,,2 stars,,,,,,,,3 stars,,,4 stars,5 stars,,,,,,,5 stars
4/17/2022 22:13:59,,N/A,4 stars,N/A,4 stars,N/A,5 stars,4 stars,4 stars,5 stars,5 stars,N/A,N/A,2 stars,2 stars,4 stars,1 star,5 stars,N/A,1 star,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,4 stars,2 stars,,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,1 star,N/A,N/A,N/A,4 stars,N/A,N/A,3 stars,N/A,3 stars,2 stars,4 stars,N/A,N/A,N/A,N/A,2 stars,4 stars,N/A,N/A,N/A,5 stars,N/A,N/A,5 stars,5 stars,5 stars,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,4 stars,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,3 stars,N/A,N/A,N/A
4/17/2022 23:20:13,,N/A,3 stars,N/A,N/A,5 stars,N/A,2 stars,N/A,4 stars,3 stars,N/A,N/A,2 stars,4 stars,5 stars,N/A,3 stars,N/A,N/A,N/A,N/A,4 stars,3 stars,5 stars,N/A,4 stars,N/A,N/A,N/A,5 stars,2 stars,1 star,N/A,5 stars,N/A,3 stars,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,"N/A, 3 stars",3 stars,4 stars,5 stars,N/A,3 stars,N/A,N/A,N/A,4 stars,5 stars,N/A,3 stars,N/A,4 stars,N/A,N/A,N/A,5 stars,N/A,N/A,3 stars,N/A,2 stars,1 star,3 stars,5 stars,5 stars,5 stars,5 stars,2 stars,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,4 stars,N/A,N/A,N/A,N/A,4 stars,1 star,5 stars,4 stars,N/A,"3 stars, 4 stars",N/A,N/A,5 stars,5 stars,N/A,N/A,N/A
4/18/2022 8:54:00,born_confused,5 stars,N/A,N/A,N/A,2 stars,5 stars,4 stars,N/A,5 stars,5 stars,N/A,N/A,2 stars,1 star,2 stars,1 star,N/A,1 star,1 star,N/A,N/A,2 stars,N/A,3 stars,N/A,5 stars,N/A,2 stars,N/A,5 stars,N/A,4 stars,3 stars,3 stars,N/A,3 stars,N/A,N/A,N/A,N/A,5 stars,N/A,3 stars,N/A,5 stars,2 stars,2 stars,5 stars,N/A,3 stars,N/A,N/A,2 stars,2 stars,N/A,N/A,2 stars,4 stars,N/A,N/A,N/A,2 stars,3 stars,N/A,N/A,N/A,5 stars,N/A,4 stars,5 stars,5 stars,4 stars,3 stars,3 stars,5 stars,N/A,N/A,4 stars,5 stars,N/A,N/A,4 stars,5 stars,N/A,N/A,N/A,3 stars,5 stars,3 stars,2 stars,4 stars,N/A,N/A,5 stars,5 stars,3 stars,N/A,N/A,N/A
4/18/2022 10:05:09,Frog,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,5 stars,N/A,N/A,N/A,4 stars,5 stars,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,5 stars,2 stars,N/A,N/A,"2 stars, 3 stars",N/A,N/A,N/A,N/A,5 stars,5 stars,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,5 stars,5 stars,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A
4/18/2022 10:09:44,,N/A,N/A,N/A,N/A,"N/A, 5 stars",5 stars,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,"N/A, 2 stars",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"N/A, 3 stars",N/A,N/A,N/A,N/A,N/A,N/A,"N/A, 5 stars",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/18/2022 10:19:40,,N/A,N/A,5 stars,N/A,N/A,5 stars,4 stars,N/A,4 stars,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 stars,N/A,N/A,N/A,2 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/18/2022 10:30:43,1780,N/A,N/A,N/A,N/A,2 stars,N/A,1 star,3 stars,N/A,N/A,N/A,N/A,1 star,1 star,N/A,N/A,4 stars,2 stars,N/A,3 stars,N/A,N/A,4 stars,N/A,N/A,2 stars,N/A,2 stars,N/A,1 star,2 stars,2 stars,N/A,4 stars,2 stars,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,4 stars,N/A,4 stars,2 stars,N/A,N/A,4 stars,4 stars,2 stars,N/A,3 stars,N/A,4 stars,1 star,2 stars,N/A,N/A,4 stars,4 stars,2 stars,N/A,4 stars,N/A,2 stars,1 star,1 star,1 star,1 star,1 star,1 star,1 star,N/A,4 stars,4 stars,N/A,N/A,1 star,3 stars,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,2 stars,"N/A, 1 star",2 stars,N/A,N/A,N/A,N/A,2 stars,N/A,5 stars,N/A